colName	rowName	seraName	virusName	seraYear	virusYear	titer	source
B/HongKong/330/2001	B/Taiwan/39/2004	B/HongKong/330/2001	B/Taiwan/39/2004	2001	2004	20	Lin2007
B/HongKong/330/2001	B/Taiwan/61/2004	B/HongKong/330/2001	B/Taiwan/61/2004	2001	2004	20	Lin2007
B/HongKong/330/2001	B/Taiwan/74/2004	B/HongKong/330/2001	B/Taiwan/74/2004	2001	2004	20	Lin2007
B/HongKong/330/2001	B/Taiwan/75/2004	B/HongKong/330/2001	B/Taiwan/75/2004	2001	2004	20	Lin2007
B/Te/80/02	B/Shandong/7/1997	B/Tehran/80/2002	B/Shandong/7/1997	2002	1997	160	MRC2003
B/Bris/32/02	B/Shandong/7/1997	B/Brisbane/32/2002	B/Shandong/7/1997	2002	1997	320	MRC2003
B/Te/80/02	B/Shandong/7/1997	B/Tehran/80/2002	B/Shandong/7/1997	2002	1997	160	MRC2004
B/Bris/32/02	B/Shandong/7/1997	B/Brisbane/32/2002	B/Shandong/7/1997	2002	1997	160	MRC2004
B/Tehr/80/02	B/Shandong/7/1997	B/Tehran/80/2002	B/Shandong/7/1997	2002	1997	160	MRC2005Feb1
B/Bris/32/02	B/Shandong/7/1997	B/Brisbane/32/2002	B/Shandong/7/1997	2002	1997	160	MRC2005Feb1
B/Tehr/80/02	B/Shandong/7/1997	B/Tehran/80/2002	B/Shandong/7/1997	2002	1997	160	MRC2005Feb2
B/Bris/32/02	B/Shandong/7/1997	B/Brisbane/32/2002	B/Shandong/7/1997	2002	1997	160	MRC2005Feb2
B/Tehr/80/02	B/Shandong/7/1997	B/Tehran/80/2002	B/Shandong/7/1997	2002	1997	80	MRC2005Feb3
B/Bris/32/02	B/Shandong/7/1997	B/Brisbane/32/2002	B/Shandong/7/1997	2002	1997	160	MRC2005Feb3
B/Tehr/80/02	B/Shandong/7/1997	B/Tehran/80/2002	B/Shandong/7/1997	2002	1997	80	MRC2005Feb4
B/Bris/32/02	B/Shandong/7/1997	B/Brisbane/32/2002	B/Shandong/7/1997	2002	1997	160	MRC2005Feb4
B/Tehr/80/02	B/Shandong/7/1997	B/Tehran/80/2002	B/Shandong/7/1997	2002	1997	160	MRC2005Feb5
B/Bris/32/02	B/Shandong/7/1997	B/Brisbane/32/2002	B/Shandong/7/1997	2002	1997	160	MRC2005Feb5
B/Tehr/80/02	B/Shandong/7/1997	B/Tehran/80/2002	B/Shandong/7/1997	2002	1997	160	MRC2005Sep1
B/Bris/32/02	B/Shandong/7/1997	B/Brisbane/32/2002	B/Shandong/7/1997	2002	1997	160	MRC2005Sep1
B/Tehr/80/02	B/Shandong/7/1997	B/Tehran/80/2002	B/Shandong/7/1997	2002	1997	160	MRC2005Sep2
